datetime,file,time_cost,k,actual_iteration
02:07:50-01/12/2023,artificial_rgb16bit,18.85,32,1
02:08:18-01/12/2023,artificial_rgb16bit_linear,17.141,32,1
02:08:47-01/12/2023,artificial_rgb8bit,16.013,32,1
02:11:00-01/12/2023,big_building_rgb16bit,53.665,32,1
02:13:15-01/12/2023,big_building_rgb16bit_linear,53.522,32,1
02:16:24-01/12/2023,big_building_rgb8bit,64.662,32,1
02:18:02-01/12/2023,big_tree_rgb16bit,40.593,32,1
02:19:38-01/12/2023,big_tree_rgb16bit_linear,40.511,32,1
02:21:22-01/12/2023,big_tree_rgb8bit,40.454,32,1
02:22:38-01/12/2023,bridge_rgb16bit,28.644,32,1
02:23:55-01/12/2023,bridge_rgb8bit,31.635,32,1
02:24:53-01/12/2023,cathedral_rgb16bit,31.482,32,1
02:25:51-01/12/2023,cathedral_rgb16bit_linear,31.657,32,1
02:26:51-01/12/2023,cathedral_rgb8bit,31.438,32,1
02:28:07-01/12/2023,deer_rgb16bit,32.991,32,1
02:29:03-01/12/2023,deer_rgb8bit,25.408,32,1
02:29:38-01/12/2023,fireworks_rgb16bit,21.078,32,1
02:30:11-01/12/2023,fireworks_rgb16bit_linear,19.218,32,1
02:30:44-01/12/2023,fireworks_rgb8bit,20.102,32,1
02:31:01-01/12/2023,flower_foveon_rgb16bit,8.501,32,1
02:31:14-01/12/2023,flower_foveon_rgb16bit_linear,7.97,32,1
02:31:32-01/12/2023,flower_foveon_rgb8bit,9.194,32,1
02:32:04-01/12/2023,hdr_rgb16bit,17.262,32,1
02:32:35-01/12/2023,hdr_rgb16bit_linear,16.31,32,1
02:33:07-01/12/2023,hdr_rgb8bit,17.14,32,1
02:33:38-01/12/2023,leaves_iso_1600_rgb16bit,16.793,32,1
02:34:09-01/12/2023,leaves_iso_1600_rgb16bit_linear,16.995,32,1
02:34:41-01/12/2023,leaves_iso_1600_rgb8bit,17.409,32,1
02:35:12-01/12/2023,leaves_iso_200_rgb16bit,16.644,32,1
02:35:44-01/12/2023,leaves_iso_200_rgb16bit_linear,17.949,32,1
02:36:15-01/12/2023,leaves_iso_200_rgb8bit,16.507,32,1
02:36:49-01/12/2023,nightshot_iso_100_rgb16bit,16.65,32,1
02:37:30-01/12/2023,nightshot_iso_100_rgb16bit_linear,22.999,32,1
02:38:04-01/12/2023,nightshot_iso_100_rgb8bit,17.325,32,1
02:38:41-01/12/2023,nightshot_iso_1600_rgb16bit,20.577,32,1
02:39:22-01/12/2023,nightshot_iso_1600_rgb16bit_linear,23.406,32,1
02:40:01-01/12/2023,nightshot_iso_1600_rgb8bit,21.585,32,1
02:40:49-01/12/2023,spider_web_rgb16bit,20.764,32,1
02:41:21-01/12/2023,spider_web_rgb16bit_linear,17.328,32,1
02:42:07-01/12/2023,spider_web_rgb8bit,20.48,32,1
04:08:44-01/12/2023,input_csv/artificial_rgb16bit,83.239,2,4
04:13:02-01/12/2023,input_csv/artificial_rgb16bit,251.487,4,17
04:15:42-01/12/2023,input_csv/artificial_rgb16bit,151.439,6,8
04:18:23-01/12/2023,input_csv/artificial_rgb16bit,153.298,8,11
05:05:09-01/12/2023,input_csv/artificial_rgb16bit,329.655,12,16
05:11:03-01/12/2023,input_csv/artificial_rgb16bit,337.213,16,15
05:18:08-01/12/2023,input_csv/artificial_rgb16bit,409.827,32,15
05:33:28-01/12/2023,input_csv/artificial_rgb16bit,903.886,48,40
05:40:09-01/12/2023,input_csv/artificial_rgb16bit,382.637,64,20
05:52:38-01/12/2023,input_csv/artificial_rgb16bit,694.501,96,27
06:34:01-01/12/2023,input_csv/artificial_rgb16bit,2446.992,128,81
07:22:59-01/12/2023,input_csv/artificial_rgb16bit,2902.057,144,100
08:08:31-01/12/2023,input_csv/artificial_rgb16bit,50.127,2,4
08:12:16-01/12/2023,input_csv/artificial_rgb16bit,220.45,4,19
08:14:51-01/12/2023,input_csv/artificial_rgb16bit,150.636,6,13
08:17:02-01/12/2023,input_csv/artificial_rgb16bit,124.803,8,10
08:19:39-01/12/2023,input_csv/artificial_rgb16bit,149.688,12,12
08:32:32-01/12/2023,input_csv/artificial_rgb16bit,764.726,16,57
08:39:52-01/12/2023,input_csv/artificial_rgb16bit,427.419,32,26
08:48:26-01/12/2023,input_csv/artificial_rgb16bit,494.549,48,25
09:01:31-01/12/2023,input_csv/artificial_rgb16bit,759.959,64,34
09:25:40-01/12/2023,input_csv/artificial_rgb16bit,1413.814,96,50
09:54:59-01/12/2023,input_csv/artificial_rgb16bit,1715.753,128,51
10:27:21-01/12/2023,input_csv/artificial_rgb16bit,1893.181,144,52
11:28:37-01/12/2023,input_csv/artificial_rgb16bit,3612.405,192,80
12:48:43-01/12/2023,input_csv/artificial_rgb16bit,4739.559,208,100
13:35:29-01/12/2023,input_csv/artificial_rgb16bit,2726.415,256,50
