datetime,input_file,output_file,start_time,end_time,time_cost
21:29:43-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_2_compressed,1700227746.885545,1700227783.281678,36.396132946014404,2
21:30:56-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_4_compressed,1700227789.903143,1700227855.773175,65.87003207206726,4
21:32:37-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_6_compressed,1700227862.5939999,1700227957.005877,94.41187715530396,6
21:34:49-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_8_compressed,1700227963.77938,1700228088.3523352,124.57295513153076,8
21:37:59-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_12_compressed,1700228095.067589,1700228278.891689,183.8241000175476,12
21:42:08-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_16_compressed,1700228285.4531012,1700228527.370982,241.9178807735443,16
22:08:01-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_32_compressed,1700228534.1068318,1700230081.082409,1546.9755771160126,32
22:56:26-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_48_compressed,1700230087.720809,1700232985.5785658,2897.8577568531036,48
23:21:57-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_64_compressed,1700232992.143271,1700234516.3198872,1524.176616191864,64
00:45:41-18/11/2023,artificial_rgb16bit,artificial_rgb16bit_96_compressed,1700234523.8361568,1700239540.490551,5016.65439414978,96
03:25:05-18/11/2023,artificial_rgb16bit,artificial_rgb16bit_128_compressed,1700239547.097428,1700249104.9110348,9557.813606739044,128
06:21:38-18/11/2023,artificial_rgb16bit,artificial_rgb16bit_144_compressed,1700249112.2734458,1700259698.250837,10585.977391242981,144
10:28:28-18/11/2023,artificial_rgb16bit,artificial_rgb16bit_192_compressed,1700259704.808598,1700274507.294361,14802.485763072968,192
15:47:08-18/11/2023,artificial_rgb16bit,artificial_rgb16bit_208_compressed,1700274514.783537,1700293628.0376792,19113.254142284393,208
21:52:14-18/11/2023,artificial_rgb16bit,artificial_rgb16bit_256_compressed,1700293634.807682,1700315533.9578938,21899.150211811066,256
