datetime,input_file,output_file,start_time,end_time,time_cost,k
21:32:19-16/11/2023,cathedral_rgb16bit_linear,cathedral_rgb16bit_linear_32_compressed,1700141387.111184,1700141538.543935,151.43275117874146,32
21:35:44-16/11/2023,nightshot_iso_100_rgb8bit,nightshot_iso_100_rgb8bit_32_compressed,1700141539.368793,1700141743.361716,203.99292302131653,32
21:39:20-16/11/2023,fireworks_rgb16bit,fireworks_rgb16bit_32_compressed,1700141751.711326,1700141960.218601,208.5072751045227,32
21:44:32-16/11/2023,bridge_rgb16bit,bridge_rgb16bit_32_compressed,1700141971.8105118,1700142271.8277252,300.017213344574,32
21:53:32-16/11/2023,hdr_rgb16bit,hdr_rgb16bit_32_compressed,1700142279.176977,1700142811.80046,532.6234831809998,32
21:55:46-16/11/2023,leaves_iso_1600_rgb16bit,leaves_iso_1600_rgb16bit_32_compressed,1700142818.319687,1700142945.692012,127.37232518196106,32
21:58:37-16/11/2023,artificial_rgb8bit,artificial_rgb8bit_32_compressed,1700142946.370348,1700143117.15936,170.78901195526123,32
22:32:59-16/11/2023,big_building_rgb8bit,big_building_rgb8bit_32_compressed,1700143118.007047,1700145176.594804,2058.5877571105957,32
22:35:16-16/11/2023,leaves_iso_200_rgb8bit,leaves_iso_200_rgb8bit_32_compressed,1700145179.980695,1700145315.506654,135.52595901489258,32
22:40:12-16/11/2023,bridge_rgb8bit,bridge_rgb8bit_32_compressed,1700145316.192496,1700145611.109598,294.9171018600464,32
22:42:55-16/11/2023,cathedral_rgb8bit,cathedral_rgb8bit_32_compressed,1700145612.212079,1700145775.249547,163.03746795654297,32
22:44:32-16/11/2023,flower_foveon_rgb16bit,flower_foveon_rgb16bit_32_compressed,1700145779.3259609,1700145871.699896,92.37393522262573,32
00:12:42-17/11/2023,big_building_rgb16bit_linear,big_building_rgb16bit_linear_32_compressed,1700145910.8715441,1700151159.3582668,5248.486722707748,32
00:18:03-17/11/2023,spider_web_rgb8bit,spider_web_rgb8bit_32_compressed,1700151162.809372,1700151482.6137989,319.80442690849304,32
00:21:29-17/11/2023,artificial_rgb16bit_linear,artificial_rgb16bit_linear_32_compressed,1700151490.554274,1700151688.782225,198.2279508113861,32
00:25:31-17/11/2023,nightshot_iso_1600_rgb8bit,nightshot_iso_1600_rgb8bit_32_compressed,1700151689.501621,1700151930.3120298,240.8104088306427,32
00:30:18-17/11/2023,fireworks_rgb16bit_linear,fireworks_rgb16bit_linear_32_compressed,1700151939.983337,1700152217.854708,277.8713710308075,32
00:34:00-17/11/2023,leaves_iso_1600_rgb16bit_linear,leaves_iso_1600_rgb16bit_linear_32_compressed,1700152225.311539,1700152439.9129758,214.6014368534088,32
00:38:28-17/11/2023,nightshot_iso_100_rgb16bit,nightshot_iso_100_rgb16bit_32_compressed,1700152448.775118,1700152708.0707982,259.29568004608154,32
00:43:33-17/11/2023,nightshot_iso_1600_rgb16bit_linear,nightshot_iso_1600_rgb16bit_linear_32_compressed,1700152718.028949,1700153012.552877,294.5239279270172,32
00:51:15-17/11/2023,spider_web_rgb16bit,spider_web_rgb16bit_32_compressed,1700153026.4277508,1700153474.262763,447.8350121974945,32
00:58:17-17/11/2023,deer_rgb16bit,deer_rgb16bit_32_compressed,1700153487.3911092,1700153896.3118021,408.9206929206848,32
01:02:20-17/11/2023,artificial_rgb16bit,artificial_rgb16bit_32_compressed,1700153904.344307,1700154139.502223,235.15791606903076,32
01:07:10-17/11/2023,nightshot_iso_1600_rgb16bit,nightshot_iso_1600_rgb16bit_32_compressed,1700154148.9773362,1700154429.581825,280.6044888496399,32
02:00:00-17/11/2023,fireworks_rgb8bit,fireworks_rgb8bit_32_compressed,1700154430.519416,1700157599.628635,3169.1092188358307,32
02:19:06-17/11/2023,hdr_rgb8bit,hdr_rgb8bit_32_compressed,1700157600.3703182,1700158745.786926,1145.4166078567505,32
02:32:28-17/11/2023,big_tree_rgb8bit,big_tree_rgb8bit_32_compressed,1700158746.679987,1700159545.902714,799.222727060318,32
02:37:06-17/11/2023,nightshot_iso_100_rgb16bit_linear,nightshot_iso_100_rgb16bit_linear_32_compressed,1700159556.868642,1700159825.373914,268.5052719116211,32
02:40:39-17/11/2023,cathedral_rgb16bit,cathedral_rgb16bit_32_compressed,1700159832.881782,1700160038.342556,205.46077394485474,32
03:05:54-17/11/2023,big_building_rgb16bit,big_building_rgb16bit_32_compressed,1700160080.607856,1700161551.490458,1470.8826019763947,32
03:09:44-17/11/2023,leaves_iso_1600_rgb8bit,leaves_iso_1600_rgb8bit_32_compressed,1700161554.985237,1700161783.24443,228.25919318199158,32
03:12:02-17/11/2023,flower_foveon_rgb16bit_linear,flower_foveon_rgb16bit_linear_32_compressed,1700161788.179722,1700161922.282785,134.1030628681183,32
03:47:28-17/11/2023,big_tree_rgb16bit_linear,big_tree_rgb16bit_linear_32_compressed,1700161954.092596,1700164046.065892,2091.9732959270477,32
04:21:19-17/11/2023,leaves_iso_200_rgb16bit,leaves_iso_200_rgb16bit_32_compressed,1700164054.289973,1700166079.143911,2024.8539378643036,32
05:27:09-17/11/2023,big_tree_rgb16bit,big_tree_rgb16bit_32_compressed,1700166106.821138,1700170026.991387,3920.1702489852905,32
05:43:03-17/11/2023,leaves_iso_200_rgb16bit_linear,leaves_iso_200_rgb16bit_linear_32_compressed,1700170035.504386,1700170983.1645708,947.6601848602295,32
05:44:23-17/11/2023,flower_foveon_rgb8bit,flower_foveon_rgb8bit_32_compressed,1700170983.891525,1700171063.027307,79.13578200340271,32
06:24:22-17/11/2023,spider_web_rgb16bit_linear,spider_web_rgb16bit_linear_32_compressed,1700171069.616825,1700173462.29265,2392.6758248806,32
06:44:42-17/11/2023,deer_rgb8bit,deer_rgb8bit_32_compressed,1700173462.972173,1700174681.254804,1218.2826309204102,32
07:07:41-17/11/2023,hdr_rgb16bit_linear,hdr_rgb16bit_linear_32_compressed,1700174688.631626,1700176060.337939,1371.7063131332397,32
