file,hadoop_timecost,spark_timecost,total_timecost,k,actual_iteration,max_iteration
artificial_rgb16bit_32,9.924,14.033,23.957,32,1,1
artificial_rgb16bit_linear_32,7.208,12.538,19.746,32,1,1
artificial_rgb8bit_32,7.176,12.428,19.604,32,1,1
big_building_rgb16bit_32,46.213,76.312,122.525,32,1,1
big_building_rgb16bit_linear_32,44.213,75.919,120.132,32,1,1
big_building_rgb8bit_32,45.203,76.354,121.557,32,1,1
big_tree_rgb16bit_32,30.196,54.073,84.269,32,1,1
big_tree_rgb16bit_linear_32,28.181,52.712,80.893,32,1,1
big_tree_rgb8bit_32,32.202,53.508,85.71,32,1,1
bridge_rgb16bit_32,13.176,21.729,34.905,32,1,1
bridge_rgb8bit_32,13.178,21.516,34.694,32,1,1
cathedral_rgb16bit_32,7.175,11.61,18.785,32,1,1
cathedral_rgb16bit_linear_32,7.172,11.627,18.799,32,1,1
cathedral_rgb8bit_32,7.177,11.688,18.865,32,1,1
deer_rgb16bit_32,12.172,20.712,32.884,32,1,1
deer_rgb8bit_32,12.185,20.638,32.823,32,1,1
fireworks_rgb16bit_32,9.173,14.565,23.738,32,1,1
fireworks_rgb16bit_linear_32,9.183,15.81,24.993,32,1,1
fireworks_rgb8bit_32,9.168,14.152,23.32,32,1,1
flower_foveon_rgb16bit_32,5.193,6.743,11.936,32,1,1
flower_foveon_rgb16bit_linear_32,4.181,6.613,10.794,32,1,1
flower_foveon_rgb8bit_32,5.165,6.718,11.883,32,1,1
hdr_rgb16bit_32,8.171,12.177,20.348,32,1,1
hdr_rgb16bit_linear_32,7.174,12.036,19.21,32,1,1
hdr_rgb8bit_32,8.177,12.125,20.302,32,1,1
leaves_iso_1600_rgb16bit_32,7.185,11.602,18.787,32,1,1
leaves_iso_1600_rgb16bit_linear_32,7.163,11.751,18.914,32,1,1
leaves_iso_1600_rgb8bit_32,7.168,11.7,18.868,32,1,1
leaves_iso_200_rgb16bit_32,7.17,11.654,18.824,32,1,1
leaves_iso_200_rgb16bit_linear_32,7.171,11.942,19.113,32,1,1
leaves_iso_200_rgb8bit_32,7.182,11.843,19.025,32,1,1
nightshot_iso_100_rgb16bit_32,9.192,14.856,24.048,32,1,1
nightshot_iso_100_rgb16bit_linear_32,10.172,15.056,25.228,32,1,1
nightshot_iso_100_rgb8bit_32,9.174,14.122,23.296,32,1,1
nightshot_iso_1600_rgb16bit_32,9.182,14.054,23.236,32,1,1
nightshot_iso_1600_rgb16bit_linear_32,10.174,15.059,25.233,32,1,1
nightshot_iso_1600_rgb8bit_32,10.311,14.208,24.519,32,1,1
spider_web_rgb16bit_32,15.177,23.489,38.666,32,1,1
spider_web_rgb16bit_linear_32,7.179,11.711,18.89,32,1,1
spider_web_rgb8bit_32,16.192,23.311,39.503,32,1,1
