datetime,file,hadoop_timecost,spark_timecost,total_timecost,k,actual_iteration,max_iteration
09:15:16-21/11/2023,artificial_rgb16bit,32.201,5.385,37.586,2,4,100
10:01:07-21/11/2023,artificial_rgb16bit,32.579,5.89,38.469,3,4,100
09:16:37-21/11/2023,artificial_rgb16bit,47.662,6.482,54.144,4,6,100
10:02:16-21/11/2023,artificial_rgb16bit,54.573,7.211,61.784,5,7,100
09:19:46-21/11/2023,artificial_rgb16bit,98.543,7.785,106.328,6,13,100
09:21:00-21/11/2023,artificial_rgb16bit,39.923,9.049,48.972,8,5,100
09:23:02-21/11/2023,artificial_rgb16bit,110.876,8.478,119.354,12,13,100
09:24:36-21/11/2023,artificial_rgb16bit,69.244,14.49,83.734,16,8,100
09:29:03-21/11/2023,artificial_rgb16bit,155.317,34.801,190.118,48,15,100
09:32:06-21/11/2023,artificial_rgb16bit,169.699,43.728,213.427,64,16,100
09:35:39-21/11/2023,artificial_rgb16bit,174.066,62.84,236.906,96,14,100
09:40:10-21/11/2023,artificial_rgb16bit,245.043,47.925,292.968,144,16,100
09:46:06-21/11/2023,artificial_rgb16bit,319.979,96.287,416.266,196,18,100
09:53:27-21/11/2023,artificial_rgb16bit,400.917,120.486,521.403,208,22,100
10:00:02-21/11/2023,artificial_rgb16bit,370.415,149.686,520.101,256,18,100
